2023-01-31;-18317;28668;-10351;46985;0;;36234;-54551;130370;-101702;24459;-34810;;BRITISH POUND STERLING
2023-01-24;-23934;27654;-3720;51588;0;;34756;-58690;127207;-99553;26309;-30029;;BRITISH POUND STERLING
2023-01-17;-24697;31436;-6739;56133;0;;41469;-66166;130575;-99139;24051;-30790;;BRITISH POUND STERLING
2023-01-10;-29456;35268;-5812;64724;0;;36007;-65463;138532;-103264;23559;-29371;;BRITISH POUND STERLING
2023-01-03;-20301;29692;-9391;49993;0;;43625;-63926;135314;-105622;22168;-31559;;BRITISH POUND STERLING
2022-12-27;-10887;19261;-8374;30148;0;;40585;-51472;128090;-108829;21579;-29953;;BRITISH POUND STERLING
2022-12-20;-5603;12657;-7054;18260;0;;35284;-40887;123375;-110718;22873;-29927;;BRITISH POUND STERLING
2022-12-13;-25739;31288;-5549;57027;0;;32008;-57747;158686;-127398;25472;-31021;;BRITISH POUND STERLING
2022-12-06;-28193;37774;-9581;65967;0;;28539;-56732;168838;-131064;22941;-32522;;BRITISH POUND STERLING
2022-11-29;-36584;49232;-12648;85816;0;;26000;-62584;172199;-122967;21363;-34011;;BRITISH POUND STERLING
2022-11-22;-35942;51487;-15545;87429;0;;30917;-66859;167143;-115656;19257;-34802;;BRITISH POUND STERLING
2022-11-15;-32834;49439;-16605;82273;0;;34699;-67533;170322;-120883;19676;-36281;;BRITISH POUND STERLING
2022-11-08;-39735;56255;-16520;95990;0;;36630;-76365;176560;-120305;18714;-35234;;BRITISH POUND STERLING
2022-11-01;-44836;65377;-20541;110213;0;;34979;-79815;183210;-117833;19464;-40005;;BRITISH POUND STERLING
2022-10-25;-47805;66560;-18755;114365;0;;43511;-91316;189146;-122586;21012;-39767;;BRITISH POUND STERLING
2022-10-18;-51211;76309;-25098;127520;0;;40328;-91539;194385;-118076;18668;-43766;;BRITISH POUND STERLING
2022-10-11;-39170;64804;-25634;103974;0;;48979;-88149;179700;-114896;19620;-45254;;BRITISH POUND STERLING
2022-10-04;-49539;79116;-29577;128655;0;;42078;-91617;191819;-112703;16367;-45944;;BRITISH POUND STERLING
2022-09-27;-46424;65217;-18793;111641;0;;59831;-106255;195244;-130027;21327;-40120;;BRITISH POUND STERLING
2022-09-20;-54843;73488;-18645;128331;0;;41289;-96132;197346;-123858;21738;-40383;;BRITISH POUND STERLING
2022-09-13;-68086;87325;-19239;155411;0;;41129;-109215;232346;-145021;21161;-40400;;BRITISH POUND STERLING
2022-09-06;-50432;69958;-19526;120390;0;;52731;-103163;189617;-119659;22607;-42133;;BRITISH POUND STERLING
2022-08-30;-29170;51498;-22328;80668;0;;58477;-87647;172796;-121298;18706;-41034;;BRITISH POUND STERLING
2022-08-23;-27966;49165;-21199;77131;0;;58783;-86749;161585;-112420;19954;-41153;;BRITISH POUND STERLING
2022-08-16;-33109;47217;-14108;80326;0;;44084;-77193;156167;-108950;19890;-33998;;BRITISH POUND STERLING
2022-08-09;-34468;52050;-17582;86518;0;;42219;-76687;156282;-104232;19243;-36825;;BRITISH POUND STERLING
2022-08-02;-56409;72577;-16168;128986;0;;29305;-85714;171966;-99389;19191;-35359;;BRITISH POUND STERLING
2022-07-26;-53990;70959;-16969;124949;0;;34606;-88596;168266;-97307;17551;-34520;;BRITISH POUND STERLING
2022-07-19;-57250;70299;-13049;127549;0;;31943;-89193;170053;-99754;19882;-32931;;BRITISH POUND STERLING
2022-07-12;-59089;75405;-16316;134494;0;;33850;-92939;174748;-99343;18999;-35315;;BRITISH POUND STERLING
2022-07-05;-56208;77009;-20801;133217;0;;39618;-95826;178745;-101736;17693;-38494;;BRITISH POUND STERLING
2022-06-28;-53118;70230;-17112;123348;0;;35184;-88302;170967;-100737;18055;-35167;;BRITISH POUND STERLING
2022-06-21;-63247;77902;-14655;141149;0;;28470;-91717;177170;-99268;17735;-32390;;BRITISH POUND STERLING
2022-06-14;-65596;81063;-15467;146659;0;;29343;-94939;184011;-102948;20625;-36092;;BRITISH POUND STERLING
2022-06-07;-70810;80465;-9655;151275;0;;34618;-105428;191742;-111277;21602;-31257;;BRITISH POUND STERLING
2022-05-31;-74105;87172;-13067;161277;0;;30788;-104893;193786;-106614;19446;-32513;;BRITISH POUND STERLING
2022-05-24;-80372;97042;-16670;177414;0;;25936;-106308;203802;-106760;19107;-35777;;BRITISH POUND STERLING
2022-05-17;-79241;94344;-15103;173585;0;;26613;-105854;201647;-107303;20811;-35914;;BRITISH POUND STERLING
2022-05-10;-79598;95245;-15647;174843;0;;29469;-109067;210627;-115382;20157;-35804;;BRITISH POUND STERLING
2022-05-03;-73813;89026;-15213;162839;0;;33536;-107349;208754;-119728;20590;-35803;;BRITISH POUND STERLING
2022-04-26;-69621;87911;-18290;157532;0;;40436;-110057;207141;-119230;20783;-39073;;BRITISH POUND STERLING
2022-04-19;-58914;72889;-13975;131803;0;;36811;-95725;186134;-113245;21987;-35962;;BRITISH POUND STERLING
2022-04-12;-53054;70949;-17895;124003;0;;35514;-88568;186343;-115394;19803;-37698;;BRITISH POUND STERLING
2022-04-05;-41758;57779;-16021;99537;0;;35873;-77631;175429;-117650;19923;-35944;;BRITISH POUND STERLING
2022-03-29;-40070;52009;-11939;92079;0;;30624;-70694;164519;-112510;22187;-34126;;BRITISH POUND STERLING
2022-03-22;-37244;50390;-13146;87634;0;;32753;-69997;137829;-87439;19316;-32462;;BRITISH POUND STERLING
2022-03-15;-29061;37279;-8218;66340;0;;32442;-61503;125994;-88715;23650;-31868;;BRITISH POUND STERLING
2022-03-08;-12526;25457;-12931;37983;0;;50982;-63508;164423;-138966;23076;-36007;;BRITISH POUND STERLING
2022-03-01;-337;14129;-13792;14466;0;;47679;-48016;131583;-117454;22551;-36343;;BRITISH POUND STERLING
2022-02-22;-5809;10070;-4261;15879;0;;42249;-48058;116372;-106302;24154;-28415;;BRITISH POUND STERLING
2022-02-15;2237;2874;-5111;5111;0;;50151;-47914;114901;-112027;24257;-29368;;BRITISH POUND STERLING
2022-02-08;-8545;9323;-778;17868;0;;44709;-53254;120220;-110897;26951;-27729;;BRITISH POUND STERLING
2022-02-01;-23605;28891;-5286;52496;0;;29597;-53202;126536;-97645;24845;-30131;;BRITISH POUND STERLING
2022-01-25;-7763;16842;-9079;24605;0;;36666;-44429;117812;-100970;24909;-33988;;BRITISH POUND STERLING
2022-01-18;-247;2848;-2601;3095;0;;39760;-40007;114486;-111638;26267;-28868;;BRITISH POUND STERLING
2022-01-11;-29166;38032;-8866;67198;0;;30506;-59672;144550;-106518;22846;-31712;;BRITISH POUND STERLING
2022-01-04;-39171;49516;-10345;88687;0;;25980;-65151;150332;-100816;20573;-30918;;BRITISH POUND STERLING
2021-12-28;-50719;60101;-9382;110820;0;;23093;-73812;156875;-96774;22191;-31573;;BRITISH POUND STERLING
2021-12-21;-57686;71124;-13438;128810;0;;20824;-78510;163619;-92495;21240;-34678;;BRITISH POUND STERLING
2021-12-14;-50748;70440;-19692;121188;0;;29497;-80245;162359;-91919;19535;-39227;;BRITISH POUND STERLING
2021-12-07;-38277;54624;-16347;92901;0;;48950;-87227;160312;-105688;23763;-40110;;BRITISH POUND STERLING
2021-11-30;-38899;53772;-14873;92671;0;;52099;-90998;149168;-95396;22364;-37237;;BRITISH POUND STERLING
2021-11-23;-34579;45803;-11224;80382;0;;50122;-84701;133888;-88085;22470;-33694;;BRITISH POUND STERLING
2021-11-16;-31599;41182;-9583;72781;0;;50443;-82042;127197;-86015;23322;-32905;;BRITISH POUND STERLING
2021-11-09;-12093;17548;-5455;29641;0;;54004;-66097;101492;-83944;24510;-29965;;BRITISH POUND STERLING
2021-11-02;15047;-11732;-3315;0;-26779;;57255;-42208;78420;-90152;27293;-30608;;BRITISH POUND STERLING
2021-10-26;14953;-13660;-1293;0;-28613;;51912;-36959;74688;-88348;27446;-28739;;BRITISH POUND STERLING
2021-10-19;1615;-2381;766;0;-3996;;49112;-47497;79459;-81840;27920;-27154;;BRITISH POUND STERLING
2021-10-12;-11979;20191;-8212;32170;0;;46794;-58773;98512;-78321;24778;-32990;;BRITISH POUND STERLING
2021-10-05;-20018;25676;-5658;45694;0;;48137;-68155;105899;-80223;25681;-31339;;BRITISH POUND STERLING
2021-09-28;1964;3411;-5375;5375;0;;57923;-55959;83471;-80060;26971;-32346;;BRITISH POUND STERLING
2021-09-21;-218;1073;-855;1291;0;;51910;-52128;79287;-78214;26218;-27073;;BRITISH POUND STERLING
2021-09-14;4790;-13077;8287;0;-17867;;44161;-39371;65679;-78756;32596;-24309;;BRITISH POUND STERLING
2021-09-07;-24524;20266;4258;44790;0;;29348;-53872;132783;-112517;30118;-25860;;BRITISH POUND STERLING
2021-08-31;-14900;14435;465;29335;0;;36544;-51444;126407;-111972;28992;-28527;;BRITISH POUND STERLING
2021-08-24;-16745;19171;-2426;35916;0;;39489;-56234;128248;-109077;26302;-28728;;BRITISH POUND STERLING
2021-08-17;4651;-4054;-597;0;-8705;;41898;-37247;103667;-107721;28967;-29564;;BRITISH POUND STERLING
2021-08-10;7070;-9263;2193;0;-16333;;44750;-37680;101835;-111098;29887;-27694;;BRITISH POUND STERLING
2021-08-03;-86;-2962;3048;0;-3048;;43119;-43205;106522;-109484;29296;-26248;;BRITISH POUND STERLING
2021-07-27;-5684;7628;-1944;13312;0;;41194;-46878;115831;-108203;26962;-28906;;BRITISH POUND STERLING
2021-07-20;-3497;3732;-235;7229;0;;44223;-47720;114031;-110299;28931;-29166;;BRITISH POUND STERLING
2021-07-13;7969;-12555;4586;0;-20524;;44686;-36717;94672;-107227;30912;-26326;;BRITISH POUND STERLING
2021-07-06;21903;-25435;3532;0;-47338;;57232;-35329;88387;-113822;29841;-26309;;BRITISH POUND STERLING
2021-06-29;17723;-29348;11625;0;-47071;;51596;-33873;82559;-111907;34027;-22402;;BRITISH POUND STERLING
2021-06-22;17927;-26578;8651;0;-44505;;51445;-33518;85169;-111747;32470;-23819;;BRITISH POUND STERLING
2021-06-15;32170;-49883;17713;0;-82053;;55203;-23033;61123;-111006;38047;-20334;;BRITISH POUND STERLING
